Listing,broken,menu_broken
pizzaiolo-gourmet-pizza-1172-queen-st,true,false
sweet-jesus-vaughan-mills,true,false
sweet-jesus-annex,true,false
foods-for-life,true,false
the-wholesome-market,true,false
moberly-natural-foods,true,false
healthy-planet-railside-rd,true,false
doomie-s-toronto,true,false
rise-above,true,false
mythology-diner,true,false
rashmi-s-bakery,true,false
indian-street-food-co,true,false
saravanaa-bhavan-toronto,true,false
udupi-palace-toronto,true,false
veggie-paradise,true,false
lotus-garden-toronto-restaurant,true,false
the-goods,true,false
veggie-flames,true,false
hot-oven-bakery-cafe,true,false
what-a-bagel-dufferin,true,false
what-a-bagel-spadina,true,false
what-a-bagel-bathurst-and-rutherford,true,false
what-a-bagel-ajax,true,false
what-a-bagel-caterer,true,false
what-a-bagel-421-spadina-road,true,false
bagel-brigade,true,false
akram-s-shoppe,true,false
ali-s-tandoori-curry-house,true,false
bac-ky-pho,true,false
bi-bim-bap-college,true,false
brickyard-bistro,true,false
buk-chang-dong-soon-tofu-on-bayview,true,false
burdock,true,false
byblos,true,false
canoe,true,false
cava,true,false
cinamon-indian-bistros,true,false
cut-the-cheese,true,false
dolce-gelato,true,false
fat-pasha,true,false
ginger-restaurant,true,false
ginger-restaurant-corp,true,false
green-eggplant,true,false
harvest-kitchen,true,false
hello-darling,true,false
julie-s-cuban,true,false
ka-chi-korean-japanese-restaurant,true,false
kamasutra-indian-restaurant-wine-bar,true,false
keeffaa-coffee,true,false
lalibela-restaurant,true,false
lalibela,true,false
lan-restaurant,true,false
luckee,true,false
maha-s-fine-egyptian-cuisine,true,false
maki-my-way,true,false
me-va-me-toronto,true,false
me-va-me-markham,true,false
mean-bao-bathurst,true,false
mean-bao-roncesvalles,true,false
mengrai-thai,true,false
milagro-cantinas,true,false
mill-st-brew-pub-toronto,true,false
montecito-restaurant,true,false
mother-s-dumplings,true,false
noka-sushi-all-you-can-eat,true,false
nunu,true,false
ovest,true,false
paramount-fine-foods-front-st,true,false
paramount-fine-foods-humber-river-hospital,true,false
paramount-fine-foods-161-bay-st,true,false
paramount-fine-foods-1250-bay-st,true,false
paramount-fine-foods-spadina,true,false
paramount-fine-foods-253-yonge,true,false
paramount-fine-foods-sheppard-ave,true,false
paramount-fine-foods-east-liberty-st,true,false
paramount-fine-foods-eglinton,true,false
paramount-fine-foods-queensway,true,false
paramount-fine-foods-crestlawn-dr,true,false
paramount-fine-foods-markham-rd,true,false
paramount-fine-foods-burlington,true,false
paramount-fine-foods-don-mills,true,false
paramount-fine-foods-7315-yonge,true,false
paramount-fine-foods-2311-yonge,true,false
paramount-fine-foods-dufferin,true,false
paramount-fine-foods-four-seasons-place,true,false
pho-rua-vang-golden-turtle-restaurant,true,false
pho-saigon-restaurant,true,false
rancho-to-go,true,false
rancho-relaxo-relaxo-lounge,true,false
real-sports,true,false
ritz-restaurant,true,false
salad-king,true,false
stratengers,true,false
sukhothai-parliament-st,true,false
sweetlulu,true,false
thai-culture,true,false
thai-lime,true,false
thai-room-bloor,true,false
thai-room-steeles-ave,true,false
the-beech-tree,true,false
the-burgernator,true,false
the-depanneur,true,false
the-real-jerk-restaurant,true,false
the-real-jerk-beaches,true,false
tibet-kitchen,true,false
