name,facebook_uri,hours,images
"255 by Alta Rossa Ristorante",255ristorante,"{'tue_1_open': '11:30', 'tue_1_close': '22:00', 'wed_1_open': '11:30', 'wed_1_close': '22:00', 'thu_1_open': '11:30', 'thu_1_close': '22:00', 'fri_1_open': '11:30', 'fri_1_close': '22:00', 'sat_1_open': '17:00', 'sat_1_close': '23:00', 'sun_1_open': '17:00', 'sun_1_close': '22:00'}",
"3 Brasseurs - Yonge and Dundas",pages/3-Brasseurs-Yonge-and-Dundas/330202440733461,,
"3 Brasseurs Canada",3BrewersLiberty,,
"3 Brasseurs Canada",3BrewersHeartland,"{'mon_1_open': '11:00', 'mon_1_close': '00:01', 'tue_1_open': '11:00', 'tue_1_close': '00:01', 'wed_1_open': '11:00', 'wed_1_close': '00:01', 'thu_1_open': '11:00', 'thu_1_close': '01:00', 'fri_1_open': '11:00', 'fri_1_close': '01:00', 'sat_1_open': '11:00', 'sat_1_close': '02:00', 'sun_1_open': '11:00', 'sun_1_close': '00:01'}",
"3 Brasseurs Canada",3badelaide,"{'mon_1_open': '11:00', 'mon_1_close': '00:00', 'tue_1_open': '11:00', 'tue_1_close': '00:00', 'wed_1_open': '11:00', 'wed_1_close': '00:00', 'thu_1_open': '11:00', 'thu_1_close': '01:00', 'fri_1_open': '11:00', 'fri_1_close': '01:00', 'sat_1_open': '11:00', 'sat_1_close': '01:00', 'sun_1_open': '11:00', 'sun_1_close': '23:00'}",
3030,3030DundasWest,,
309DhabaIndianRestaurantToronto/,309DhabaIndianRestaurantToronto/,"{'mon_1_open': '11:00', 'mon_1_close': '17:00', 'mon_2_open': '17:00', 'mon_2_close': '02:00', 'tue_1_open': '11:00', 'tue_1_close': '17:00', 'tue_2_open': '17:00', 'tue_2_close': '02:00', 'wed_1_open': '11:00', 'wed_1_close': '17:00', 'wed_2_open': '17:00', 'wed_2_close': '02:00', 'thu_1_open': '17:00', 'thu_1_close': '03:00', 'thu_2_open': '23:00', 'thu_2_close': '17:00', 'fri_1_open': '11:00', 'fri_1_close': '17:00', 'fri_2_open': '17:00', 'fri_2_close': '03:00', 'sat_1_open': '11:00', 'sat_1_close': '17:00', 'sat_2_open': '17:00', 'sat_2_close': '03:00', 'sun_1_open': '11:00', 'sun_1_close': '17:00', 'sun_2_open': '17:00', 'sun_2_close': '03:00'}",
"341 Pizza & Wings 79",pages/341-Pizza-Wings-79/703201059883593,,
"360 the Restaurant at the CN Tower",pages/360-the-Restaurant-at-the-CN-Tower/1889276211345504,"{'mon_1_open': '11:00', 'mon_1_close': '14:00', 'mon_2_open': '16:30', 'mon_2_close': '22:30', 'tue_1_open': '11:00', 'tue_1_close': '14:00', 'tue_2_open': '16:30', 'tue_2_close': '22:30', 'wed_1_open': '11:00', 'wed_1_close': '14:00', 'wed_2_open': '16:30', 'wed_2_close': '22:30', 'thu_1_open': '11:00', 'thu_1_close': '14:00', 'thu_2_open': '16:30', 'thu_2_close': '22:30', 'fri_1_open': '11:00', 'fri_1_close': '14:00', 'fri_2_open': '16:30', 'fri_2_close': '23:00', 'sat_1_open': '11:00', 'sat_1_close': '14:00', 'sat_2_open': '16:30', 'sat_2_close': '23:30', 'sun_1_open': '10:30', 'sun_1_close': '14:00'}",
411catering/,411catering/,"{'tue_1_open': '11:00', 'tue_1_close': '19:00', 'wed_1_open': '11:00', 'wed_1_close': '19:00', 'thu_1_open': '11:00', 'thu_1_close': '19:00', 'fri_1_open': '11:00', 'fri_1_close': '20:00', 'sat_1_open': '11:00', 'sat_1_close': '19:00', 'sun_1_open': '11:00', 'sun_1_close': '17:00'}",
"416 Snack Bar",416snackbar,"{'mon_1_open': '17:00', 'mon_1_close': '02:00', 'tue_1_open': '05:00', 'tue_1_close': '02:00', 'wed_1_open': '17:00', 'wed_1_close': '02:00', 'thu_1_open': '17:00', 'thu_1_close': '02:00', 'fri_1_open': '12:00', 'fri_1_close': '02:00', 'sat_1_open': '12:00', 'sat_1_close': '02:00', 'sun_1_open': '12:00', 'sun_1_close': '02:00'}",
421mothersdumplings/,421mothersdumplings/,"{'mon_1_open': '11:30', 'mon_1_close': '22:00', 'tue_1_open': '11:30', 'tue_1_close': '22:00', 'wed_1_open': '11:30', 'wed_1_close': '22:00', 'thu_1_open': '11:30', 'thu_1_close': '22:00', 'fri_1_open': '11:30', 'fri_1_close': '22:30', 'sat_1_open': '11:30', 'sat_1_close': '22:30', 'sun_1_open': '11:30', 'sun_1_close': '22:00'}",https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/20476440_1595697940472141_1585001218315530557_n.jpg?_nc_cat=0&oh=ab21f80ec66bf736c61a42a21a3478ea&oe=5B7643A0|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/20375801_1595696883805580_2700688114890303492_n.png?_nc_cat=0&oh=4125bc19627ba6b9c5480089c3336423&oe=5BB4353C|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/22100_846974888677787_5606738345499217476_n.jpg?_nc_cat=0&oh=3210051fd32b2a58743ffad6fae40aa8&oe=5BC1D691|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/1513669_846462348729041_8708491909008532524_n.png?_nc_cat=0&oh=d5a6d11d1b223bbdbbf657b2c011a58a&oe=5BC343F8|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/10491281_844265062282103_8406965537057751937_n.png?_nc_cat=0&oh=3c972d31c3450a61090f3354459c45d9&oe=5BB7F9DC|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/1549524_843796575662285_4256057681711193536_n.jpg?_nc_cat=0&oh=4232c12d7bb497e140ab44b20e5ef533&oe=5B854916|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/11009882_840571469318129_478050965568452408_n.jpg?_nc_cat=0&oh=c7eef91f6c9e20839db94e57ceab9248&oe=5B85DB84|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/10461934_838812512827358_804354931587094181_n.jpg?_nc_cat=0&oh=8c115c49e8f94584465e85238f055f1a&oe=5BC401D5|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/11038655_833358616706081_4359082374589368393_n.jpg?_nc_cat=0&oh=2ceb407b2ac8df8130039d5afcc647c3&oe=5B8879A7|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/11012827_833319813376628_1545280655685919908_n.png?_nc_cat=0&oh=c69f11403ad3c7108abe8c2dac470f34&oe=5B8174DE|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/10999769_830046060370670_7892634212242209988_n.jpg?_nc_cat=0&oh=5b6c756d7a07656eeca0a6eaf9123578&oe=5B84B04E|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/1456539_822413231133953_9198810587850907354_n.png?_nc_cat=0&oh=e79f858bf438c16bf1518a0363099a46&oe=5BB47F4D|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/10942610_821532434555366_740084779900642566_n.jpg?_nc_cat=0&oh=35b31aa26f3277edbe9c1c9a15d601b1&oe=5B76F22D|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/10959352_820527974655812_8840544224537272322_n.png?_nc_cat=0&oh=459dfe71e2ae0ef4412aad3f74b39e3a&oe=5B85AE31|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/10433797_819173958124547_3149300053797562448_n.jpg?_nc_cat=0&oh=6e089b9eb035db0ddc8a93a9fb0b5ff8&oe=5B796E1D
